sSizeMin,sSizeMax,0.71,0.91,1.13,1.41,1.81,2.25,2.81,3.56,4.51,5.61,7.11,9.01,11.3,14.1,18.1,22.4,28.1
0.09,0.112,-1,400,300,300,200,60,60,50,50,40,40,40,25,15,15,15,10
0.113,0.14,-1,500,300,250,200,200,50,50,40,40,25,25,25,15,15,15,10
0.141,0.18,-1,500,400,250,200,200,150,40,40,30,25,25,20,15,15,15,10
0.181,0.224,-1,-1,400,300,200,150,150,120,30,30,25,25,20,15,15,15,10
0.225,0.28,-1,-1,500,300,250,150,120,120,100,25,25,20,20,15,15,15,10
0.281,0.355,-1,-1,-1,400,250,200,120,100,100,80,20,20,15,15,15,10,10
0.356,0.45,-1,-1,-1,500,300,200,150,100,80,80,60,15,15,15,15,10,7
0.451,0.56,-1,-1,-1,-1,400,250,150,120,80,60,60,50,15,15,10,10,7
0.561,0.71,-1,-1,-1,-1,500,300,200,120,100,60,50,50,40,10,10,7,7
0.771,0.9,-1,-1,-1,-1,-1,400,250,150,100,80,50,40,40,30,7,7,5
0.901,1.12,,-1,-1,-1,-1,-1,300,200,120,80,60,40,30,30,25,7,5
1.13,1.4,,,-1,-1,-1,-1,500,250,150,100,60,50,30,25,25,25,5
1.41,1.8,,,,-1,-1,-1,-1,300,200,120,80,50,30,25,25,25,15
1.81,2.24,,,,,-1,-1,-1,-1,250,150,100,60,40,30,25,15,15
2.25,2.8,,,,,,-1,-1,-1,-1,250,120,70,50,30,25,15,10
2.81,3.55,,,,,,,-1,-1,-1,-1,200,100,60,40,25,20,10
3.56,4.5,,,,,,,,-1,-1,-1,-1,150,80,50,30,20,15
4.51,5.6,,,,,,,,,-1,-1,-1,-1,120,60,40,25,15
5.61,7.1,,,,,,,,,,-1,-1,-1,-1,100,50,30,20
7.11,9,,,,,,,,,,,-1,-1,-1,-1,100,40,25
9.01,11.2,,,,,,,,,,,,-1,-1,-1,-1,60,30
