inspectNum,div,c1,c2,lp0.95,lp0.5,lp0.1
1,11.9,0,1,0.21,1,2.5
2,7.45,1,2,0.52,1.82,3.92
3,6.79,0,2,0.43,1.42,2.96
4,5.39,1,3,0.76,2.11,4.11
5,4.65,2,4,1.16,2.9,5.39
6,4.25,1,4,1.04,2.5,4.42
7,3.88,2,5,1.43,3.2,5.55
8,3.63,3,6,1.87,3.98,6.78
9,3.38,2,6,1.72,3.56,5.82
10,3.21,3,7,2.15,4.27,6.91
11,3.09,4,8,2.62,5.02,8.1
12,2.85,4,9,2.9,5.33,8.26
13,2.6,5,11,3.68,6.4,9.56
14,2.44,5,12,4,6.73,9.77
15,2.32,5,13,4.35,7.06,10.08
16,2.22,5,14,4.7,7.52,10.45
17,2.12,5,16,5.39,8.4,11.41
