lotmin,lotmax,0.5,0.8,1.25,2,3.15,5,8,12.5,20,31.5
16,25,-1,-1,-1,-1,-1,-1,17,13,9,6
26,50,-1,-1,-1,-1,-1,2,22,15,10,6
51,90,-1,-1,-1,50,44,34,24,16,10,8
91,150,-1,-1,90,80,55,38,26,18,13,13
151,280,200,170,130,95,65,42,28,20,20,13
281,500,280,220,155,105,80,50,32,32,20,20
501,1200,980,255,170,125,125,80,50,32,32,32
1201,3200,430,280,200,200,125,125,80,50,50,50
3201,10000,450,315,315,200,200,200,125,80,80,80
10001,35000,500,500,315,315,315,315,200,125,125,80
35001,150000,800,500,500,500,500,500,315,200,125,80
150001,500000,800,800,800,800,800,500,315,200,125,80
500001,1.00E+12,1250,1250,1250,1250,800,500,315,200,125,80
