sLetter,sSize,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10,25,40,65,100,150,250,400,650,1000
A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,6,8,11,15,22,31
B,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,5,7,9,13,19,27,37,57
C,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,7,9,13,19,27,37,57,57
D,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,7,9,13,19,27,37,57,57,57
E,8,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,5,9,13,19,27,37,57,57,57,57
F,13,1,1,1,1,1,1,1,1,1,1,1,2,2,4,5,7,13,19,27,27,37,57,57,57,57
G,20,1,1,1,1,1,1,1,1,1,1,2,2,4,5,7,9,19,27,27,27,37,57,57,57,57
H,32,1,1,1,1,1,1,1,1,1,2,2,4,5,7,9,13,27,27,27,27,37,57,57,57,57
J,50,1,1,1,1,1,1,1,1,2,2,4,5,7,9,13,19,27,27,27,27,37,57,57,57,57
K,80,1,1,1,1,1,1,1,2,2,4,5,7,9,13,19,27,27,27,27,27,37,57,57,57,57
L,125,1,1,1,1,1,1,2,2,4,5,7,9,13,19,27,27,27,27,27,27,37,57,57,57,57
M,200,1,1,1,1,1,2,2,4,5,7,9,13,19,27,27,27,27,27,27,27,37,57,57,57,57
N,315,1,1,1,1,2,2,4,5,7,9,13,19,27,27,27,27,27,27,27,27,37,57,57,57,57
P,500,1,1,1,2,2,4,5,7,9,13,19,27,27,27,27,27,27,27,27,27,37,57,57,57,57
Q,800,1,1,2,2,4,5,7,9,13,19,27,27,27,27,27,27,27,27,27,27,37,57,57,57,57
R,1250,1,1,2,4,5,7,9,13,19,27,27,27,27,27,27,27,27,27,27,27,37,57,57,57,57
