sLetter,sSize,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10
B,3,3.442,3.31,3.179,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.615,1.395,1.163,0.954,0.818
C,4,3.442,3.31,3.179,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.615,1.395,1.163,1.046,0.853
D,6,3.442,3.31,3.179,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.615,1.395,1.275,1.108,0.902
E,9,3.442,3.31,3.179,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.615,1.494,1.338,1.159,0.907
F,13,3.442,3.31,3.179,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.712,1.565,1.405,1.189,0.938
G,18,3.442,3.31,3.179,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.91,1.77,1.622,1.429,1.212,0.944
H,25,3.442,3.31,3.179,3.037,2.889,2.736,2.569,2.399,2.215,2.102,1.969,1.829,1.652,1.457,1.225,0.995
J,35,3.442,3.31,3.179,3.037,2.889,2.736,2.569,2.399,2.289,2.16,2.028,1.862,1.684,1.476,1.242,1.01
K,50,3.442,3.31,3.179,3.037,2.889,2.736,2.569,2.461,2.336,2.209,2.052,1.885,1.693,1.481,1.277,1.044
L,70,3.442,3.31,3.179,3.037,2.889,2.736,2.631,2.51,2.389,2.239,2.082,1.904,1.71,1.526,1.322,1.044
M,95,3.442,3.31,3.179,3.037,2.889,2.787,2.67,2.553,2.41,2.261,2.093,1.913,1.745,1.559,1.322,1.044
N,125,3.442,3.31,3.179,3.037,2.937,2.824,2.711,2.574,2.432,2.274,2.105,1.949,1.779,1.559,1.322,1.044
P,160,3.442,3.31,3.179,3.082,2.973,2.865,2.733,2.597,2.447,2.288,2.141,1.984,1.779,1.559,1.322,1.044
Q,200,3.442,3.31,3.215,3.109,3.004,2.877,2.747,2.603,2.452,2.313,2.165,1.984,1.779,1.559,1.322,1.044
R,250,3.442,3.35,3.247,3.146,3.023,2.898,2.76,2.616,2.485,2.345,2.165,1.984,1.779,1.559,1.322,1.044
